country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,HDI,people_fully_vaccinated
Saint Vincent And The Grenadines,North America,6799,106,6641,52,,60925,950,99138,888365,111596,#N/A,0.751,31632
Samoa,Australia/Oceania,11313,24,1605,9684,4,56320,119,85921,427746,200869,843842416.46 ,0.707,#N/A
San Marino,Europe,16852,115,16454,283,4,494716,3376,152231,4468970,34064,0.00 ,0.853,#N/A
Sao Tome And Principe,Africa,5970,73,5891,6,,26330,322,29036,128060,226737,526653790.67 ,0.618,111986
Saudi Arabia,Asia,759226,9116,743921,6189,61,21194,254,42144668,1176452,35823522,833541236569.32 ,0.875,25414359
Senegal,Africa,86039,1966,84059,14,,4898,112,1081824,61589,17565349,27625388352.17 ,0.511,1438733
Serbia,Europe,2012836,16049,1988209,8578,12,232112,1851,9596815,1106664,8671838,63082047649.85 ,0.802,#N/A
Seychelles,Africa,43235,167,42553,515,,434606,1679,,,99481,1454458183.86 ,0.785,83494
Sierra Leone,Africa,7682,125,,,,928,15,259958,31400,8279028,4042237864.29 ,0.477,4197335
Singapore,Asia,1240233,1362,1162140,76731,8,208933,229,23767171,4003881,5936034,396986899888.35 ,0.939,#N/A
Sint Maarten,North America,10123,86,9985,52,10,231208,1964,62056,1417354,43783,#N/A,#N/A,#N/A
Slovakia,Europe,1787093,20041,1761664,5388,30,327033,3667,7127129,1304244,5464567,#N/A,0.848,#N/A
Slovenia,Europe,1019468,6622,1003559,9287,9,490254,3184,2656926,1277694,2079470,61748586534.87 ,0.918,#N/A
Solomon Islands,Australia/Oceania,18174,146,16357,1671,2,25303,203,5117,7124,718243,1631486531.92 ,0.564,#N/A
Somalia,Africa,26518,1350,13182,11986,,1586,81,400466,23953,16718643,7628000011.46 ,..,#N/A
South Africa,Africa,3887449,100753,3708347,78349,192,64042,1660,24841314,409239,60701292,419015018371.89 ,0.713,21038797
South Korea,Asia,17782061,23709,,,338,346282,462,15804065,307763,51351355,#N/A,#N/A,44395498
South Sudan,Africa,17525,138,13514,3873,1,1532,12,389677,34068,11438136,0.00 ,0.385,3808052
Spain,Europe,12127122,105444,11548089,473589,339,259190,2254,471036328,10067352,46788503,1427380681294.55 ,0.905,40735254
Sri Lanka,Asia,663671,16511,646921,239,,30753,765,6486117,300555,21580463,88927263724.86 ,0.782,#N/A
State Of Palestine,Asia,582119,5353,576684,82,17,109376,1006,3078533,578432,5322203,#N/A,#N/A,#N/A
Sudan,Africa,62161,4936,,,,1359,108,562941,12303,45755378,34326058557.44 ,0.508,13416394
Suriname,South America,80008,1337,49455,29216,,134147,2242,236268,396143,596421,2984706243.65 ,0.73,#N/A
Swaziland,Africa,71698,1402,69549,747,11,60631,1186,1021394,863732,1182536,#N/A,#N/A,#N/A
Sweden,Europe,2504894,18864,2477725,8305,9,245180,1846,18553837,1816057,10216549,635663801201.77 ,0.947,0
Switzerland,Europe,3631881,13882,3551493,66506,78,414008,1582,20927607,2385592,8772500,800640155387.26 ,0.962,6013015
Syria,Asia,55869,3150,52479,240,,3054,172,146269,7996,18292142,#N/A,#N/A,#N/A
Taiwan,Asia,768543,1068,60634,706841,,32161,45,16207475,678221,23897056,#N/A,#N/A,20756187
Tajikistan,Asia,17388,124,17264,0,,1750,12,,,9936493,8746270636.40 ,0.685,#N/A
Tanzania,Africa,35354,840,,,7,562,13,,,62901456,67841049193.39 ,#N/A,32165791
Thailand,Asia,4373846,29475,4273599,70772,1496,62371,420,17270775,246281,70126166,505947037098.42 ,0.8,#N/A
Timor Leste,Asia,22889,131,22746,12,,16766,96,264799,193963,1365204,#N/A,#N/A,#N/A
Togo,Africa,37023,273,36727,23,,4285,32,735638,85144,8639966,8413200567.62 ,0.539,1554066
Tonga,Australia/Oceania,11049,11,10110,928,,102376,102,518262,4802012,107926,469231309.54 ,0.745,77331
Trinidad And Tobago,North America,154643,3871,141354,9418,18,109837,2749,726218,515806,1407928,24460196270.69 ,0.81,#N/A
Tunisia,Africa,1041197,28575,,,29,86414,2372,4592916,381189,12048936,46686741814.28 ,0.731,6399096
Turkey,Asia,15053168,98890,14951238,3040,975,174977,1149,160622710,1867071,86029250,#N/A,#N/A,#N/A
Turks And Caicos Islands,North America,6046,36,5963,47,4,152323,907,505354,12731886,39692,943269800.00 ,#N/A,#N/A
Uganda,Africa,164069,3596,100205,60268,2,3388,74,2612795,53950,48429823,40529789025.57 ,0.525,13043107
UK,Europe,22159805,176708,21677896,305201,253,323264,2578,519264096,7574950,68550166,#N/A,#N/A,#N/A
Ukraine,Europe,5006460,108449,,,177,115771,2508,19521252,451415,43244553,200085537744.35 ,0.773,#N/A
United Arab Emirates,Asia,902484,2302,886128,14054,,89240,228,159103283,15732628,10112950,415021590683.01 ,0.911,#N/A
Uruguay,South America,902540,7213,892434,2893,18,258152,2063,6114822,1749015,3496151,59319484710.65 ,0.809,2902022
USA,North America,84209473,1026646,81244260,1938567,1941,251659,3068,1016882505,3038939,334617623,#N/A,#N/A,#N/A
Uzbekistan,Asia,238802,1637,236974,191,23,6947,48,1377915,40088,34372515,69238903106.17 ,0.727,18144247
Vanuatu,Australia/Oceania,8457,14,7974,469,,26386,44,24976,77926,320508,956332655.72 ,0.607,#N/A
Venezuela,South America,522921,5711,516170,1040,230,18487,202,3359014,118752,28285909,#N/A,#N/A,#N/A
Viet Nam,Asia,10696630,43065,9355040,1298525,340,108080,435,85811485,867048,98969721,#N/A,0.703,#N/A
Wallis And Futuna Islands,Australia/Oceania,454,7,438,9,,41755,644,20508,1886140,10873,#N/A,#N/A,#N/A
Western Sahara,Africa,10,1,9,0,,16,2,,,624681,#N/A,#N/A,#N/A
Yemen,Asia,11819,2149,9009,661,23,381,69,265253,8543,31049015,#N/A,0.455,773549
Zambia,Africa,320591,3983,315997,611,,16575,206,3452554,178497,19342381,22147634727.36 ,0.565,8747040
Zimbabwe,Africa,249206,5482,242417,1307,12,16324,359,2287793,149863,15265849,28371238665.51 ,0.593,#N/A
