country,continent,total_confirmed,total_deaths,total_recovered,active_cases,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,people_fully_vaccinated,HDI
Samoa,Australia/Oceania,11313,24,165,9684,5632,119,85921,427746,2869,843842416.5,494684,0.71
San Marino,Europe,16852,115,16454,283,494716,3376,152231,446897,3464,154.1,69338,0.85
Sao Tome And Principe,Africa,597,73,5891,6,2633,322,2936,1286,226737,52665379.7,111986,0.62
Saudi Arabia,Asia,759226,9116,743921,6189,21194,254,42144668,1176452,35823522,834,25414359,0.88
Senegal,Africa,8639,1966,8459,14,4898,112,181824,61589,17565349,27625388352,1438733,0.51
Serbia,Europe,212836,1649,198829,8578,232112,1851,9596815,116664,8671838,63824765,8533114,0.8
Seychelles,Africa,43235,167,42553,515,43466,1679,,,99481,1454458184,83494,0.79
Sierra Leone,Africa,7682,125,,,928,15,259958,314,827928,442237864,4197335,0.48
Singapore,Asia,124233,1362,116214,76731,28933,229,23767171,43881,593634,397,14171209,0.94
Sint Maarten,North America,1123,86,9985,52,23128,1964,6256,1417354,43783,118.5,10508,0.702
Slovakia,Europe,178793,241,1761664,5388,32733,3667,7127129,134244,5464567,11650,7074050,0.85
Slovenia,Europe,119468,6622,13559,9287,49254,3184,2656926,1277694,27947,61748586535,2994545,0.92
Solomon Islands,Australia/Oceania,18174,146,16357,1671,2533,23,5117,7124,718243,1631486532,458474,0.56
Somalia,Africa,26518,135,13182,11986,1586,81,4466,23953,16718643,762811,3724063,0.361
South Africa,Africa,3887449,1753,378347,78349,6442,166,24841314,49239,671292,419,2138797,0.71
South Korea,Asia,1778261,2379,,,346282,462,158465,37763,51351355,18110,44395498,0.925
South Sudan,Africa,17525,138,13514,3873,1532,12,389677,3468,11438136,12000,38852,0.39
Spain,Europe,12127122,15444,1154889,473589,25919,2254,47136328,167352,4678853,143,4735254,0.91
Sri Lanka,Asia,663671,16511,646921,239,3753,765,6486117,3555,2158463,88927263725,39576548,0.78
State Of Palestine,Asia,582119,5353,576684,82,19376,16,378533,578432,532223,18040,,0.715
Sudan,Africa,62161,4936,,,1359,18,562941,1233,45755378,3432658557,13416394,0.51
Suriname,South America,88,1337,49455,29216,134147,2242,236268,396143,596421,298476244,505699,0.73
Swaziland,Africa,71698,142,69549,747,6631,1186,121394,863732,1182536,4743,"535,393",0.597
Sweden,Europe,254894,18864,2477725,835,24518,1846,18553837,181657,1216549,636,22583361,0.95
Switzerland,Europe,3631881,13882,3551493,6656,4148,1582,292767,2385592,87725,864,61315,0.96
Syria,Asia,55869,315,52479,24,354,172,146269,7996,18292142,11080,3870173,0.577
Taiwan,Asia,768543,168,6634,76841,32161,45,1627475,678221,2389756,774.73,2756187,0.907
Tajikistan,Asia,17388,124,17264,,175,12,,,9936493,874627636,12504152,0.69
Tanzania,Africa,35354,84,,,562,13,,,6291456,6784149193,32165791,0.549
Thailand,Asia,4373846,29475,4273599,7772,62371,42,1727775,246281,7126166,559,137896894,0.8
Timor Leste,Asia,22889,131,22746,12,16766,96,264799,193963,136524,3621,22904,0.607
Togo,Africa,3723,273,36727,23,4285,32,735638,85144,8639966,84132568,155466,0.54
Tonga,Australia/Oceania,1149,11,111,928,12376,12,518262,48212,17926,46923139.5,77331,0.75
Trinidad And Tobago,North America,154643,3871,141354,9418,19837,2749,726218,51586,147928,2446196271,1568300,0.81
Tunisia,Africa,141197,28575,,,86414,2372,4592916,381189,1248936,46686741814,639996,0.73
Turkey,Asia,1553168,9889,14951238,34,174977,1149,1662271,186771,862925,819000,147789639,0.867
Turks And Caicos Islands,North America,646,36,5963,47,152323,97,55354,12731886,39692,9432698,69465,0.873
Uganda,Africa,16469,3596,125,6268,3388,74,2612795,5395,48429823,452978926,134317,0.53
