country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,HDI,people_fully_vaccinated
Lesotho,Africa,3291,697,24155,858,,15139,321,431221,198365,2173878,249613468,0.51 ,93.888
Liberia,Africa,7451,294,5747,141,2,1411,56,139824,26487,5278999,359,0.48 ,
Libya,Africa,5194,643,49973,451,11,7124,913,2477219,351613,74531,42817472975,0.72 ,
Liechtenstein,Europe,17347,84,17192,71,1,452546,2191,12174,266551,38332,,0.94 ,2.6464
Lithuania,Europe,16619,9127,13269,18883,11,399994,3442,995493,3754317,2651588,66445256585,0.88 ,188.46
Luxembourg,Europe,244182,173,235939,717,,37861,1664,4248188,658692,644943,8556243834,0.93 ,
Macedonia,Europe,31684,9289,3761,634,,149137,4459,23466,976666,283215,,,
Madagascar,Africa,64236,1393,5937,3473,14,2214,48,43995,14854,2916291,1447263323,0.50 ,242.3671
Malawi,Africa,85887,2636,8273,548,67,4284,131,57887,28868,25211,12626717492,0.51 ,371.437
Malaysia,Asia,4475873,35612,449159,3112,47,13567,175,59274648,178876,33138284,3.73E+05,0.80 ,2754.6328
Maldives,Asia,179483,298,163687,15498,25,321497,534,2213831,396556,558272,545576236,0.75 ,38.5135
Mali,Africa,313,733,388,182,,1453,34,6758,31636,21336613,191446166,0.43 ,324.7719
Malta,Europe,9358,713,976,2719,4,2173,167,19497,429355,443733,1736444944,0.92 ,47.155
Marshall Islands,Australia/Oceania,17,,14,3,,284,,,,59934,2595387,0.64 ,
Martinique,North America,153253,926,14,152223,8,48977,2471,828928,221219,374723,,,
Mauritania,Africa,5884,982,5778,15,,1264,21,816126,167336,4877181,9996249658,0.56 ,153.7866
Mauritius,Africa,37843,996,36183,664,,29665,781,358675,28116,1275698,1152942672,0.80 ,18.8142
Mayotte,Africa,37363,187,2964,34212,,13166,656,176919,62616,2857,,,
Mexico,North America,5745652,324465,544893,376294,4798,4378,2468,1585549,12615,13145567,1.27E+05,0.76 ,
Micronesia,Australia/Oceania,7,,1,6,,6,,,,117269,,,
Moldova,Europe,516986,11489,54142,1355,49,128715,286,321635,8772,41654,13679221333,,17.7327
Monaco,Europe,124,54,11866,84,4,31911,1358,5496,1382294,3976,859696984,..,
Mongolia,Asia,469885,2179,313256,15445,192,139159,645,4348,1193522,337661,15286441818,0.74 ,
Montenegro,Europe,236277,2719,232955,63,6,37619,4328,246521,3924142,628214,586126839,0.83 ,
Montserrat,North America,747,2,39,355,,14946,4,11238,2248499,4998,,,
Morocco,Africa,1165795,1671,114954,67,293,392,426,112371,297864,37725337,1.43E+05,0.68 ,2352.142
Mozambique,Africa,225493,221,22319,12,13,6857,67,1319772,4132,32885526,15776758633,0.45 ,1847.3865
Myanmar,Asia,61314,19434,59289,1617,,1113,353,883326,146732,5589133,6591751273,0.59 ,
Namibia,Africa,1674,428,153662,2384,,6944,1534,118783,387873,262659,1231595844,0.62 ,53.6749
Nauru,Australia/Oceania,8,,5,3,,731,,,,1951,133218896.9,..,
Nepal,Asia,978998,11952,96694,142,,32511,397,566914,188264,3112649,3628883373,0.60 ,2432.4965
Netherlands,Europe,867116,22292,7989151,55673,55,468869,1296,2117399,1226784,172548,1.13E+04,0.94 ,
New Caledonia,Australia/Oceania,6149,312,6339,398,9,2172,174,98964,34539,2961,17135196,,18.4784
New Zealand,Australia/Oceania,143683,923,9895,53755,,28649,185,7127584,1424918,521,2.50E+05,0.94 ,
Nicaragua,North America,18491,225,4225,1441,,2731,33,,,6771338,14132292,0.67 ,66.7959
Niger,Africa,913,31,8579,124,1,349,12,25343,9794,25837472,149151427,0.40 ,545.4196
Nigeria,Africa,255859,3143,249943,2773,11,1186,15,511473,23717,215651424,4.48E+04,0.54 ,6979.371
Niue,Australia/Oceania,9,,9,,,5464,,,,1647,,,0.1635
Norway,Europe,1429717,361,,,2,25994,557,11243,2372,55191,4.82E+05,0.96 ,
Oman,Asia,38948,426,384592,556,2,7288,796,25,4674286,534841,88191977373,0.82 ,
Pakistan,Asia,1529249,3376,1494141,4732,19,6681,133,2835449,123867,22887879,3.48E+05,0.54 ,1555.956
Palau,Australia/Oceania,4879,6,4166,77,1,267269,329,49264,2698658,18255,2178,0.77 ,
Panama,North America,86277,823,773421,24653,16,181543,1847,619923,1355456,4441253,63651,0.81 ,317.152
Papua New Guinea,Australia/Oceania,43876,651,432,25,7,4737,7,249149,26898,926265,2659435746,0.56 ,31.8967
Paraguay,South America,649718,18872,624673,6173,2,8955,2587,2633737,36998,729575,39495431574,0.72 ,354.4714
Peru,South America,3571919,21323,,,248,15593,6297,3226868,893567,3382721,2.23E+05,0.76 ,2859.5253
Philippines,Asia,3687922,6455,3624459,38,289,32841,538,29827732,265614,112297269,3.95E+04,0.70 ,744.9515
Poland,Europe,63436,11627,5335112,552117,981,15895,377,36224215,95988,3776942,6.79E+05,0.88 ,2264.5645
Portugal,Europe,466674,22583,,,61,4999,2227,4193714,4131968,1141346,2.54E+05,0.87 ,889.7476
Qatar,Asia,366179,677,364474,128,1,13415,241,3487616,1242115,28785,1.80E+05,0.86 ,285.2
Reunion,Africa,4598,762,39543,9788,1,44753,84,16366,1767679,97212,,,
Romania,Europe,29372,65612,,,138,15283,3453,22954921,128233,18998751,2.85E+04,0.82 ,
Russia,Europe,1826293,37767,17647179,235444,23,12527,2586,2734,1871949,1465996,,,7969.966
Rwanda,Africa,12997,1459,45522,82926,,9587,18,534323,394334,13549956,117356519,0.53 ,
Saint Barthelemy,North America,4611,6,,,,46421,64,78646,7917648,9933,,,
Saint Helena,Africa,2,,2,,,327,,,,6111,,,
Saint Kitts And Nevis,North America,565,43,5547,15,,13989,798,777,1311818,539,,0.78 ,
Saint Lucia,North America,24267,368,23277,622,1,13138,1987,143281,773697,18519,,0.72 ,
Saint Martin,North America,162,63,1399,914,7,265754,1579,112382,281715,39894,,,
Saint Pierre And Miquelon,North America,2739,1,2449,289,1,47795,174,23687,4125936,5741,,,
Saint Vincent And The Grenadines,North America,6799,16,6641,52,,6925,95,99138,888365,111596,,0.75 ,3.1632
Samoa,Australia/Oceania,11313,24,165,9684,4,5632,119,85921,427746,2869,843842416.5,0.71 ,
San Marino,Europe,16852,115,16454,283,4,494716,3376,152231,446897,3464,,0.85 ,
Sao Tome And Principe,Africa,597,73,5891,6,,2633,322,2936,1286,226737,52665379.7,0.62 ,11.1986
